date,close,volume
1986/3/13,0.0617,1031788800
1986/3/14,0.0639,308160000
1986/3/17,0.065,133171200
1986/3/18,0.0634,67766400
1986/3/19,0.0623,47894400
1986/3/20,0.0606,58435200
1986/3/21,0.059000000000000004,59990400
1986/3/24,0.0573,65289600
1986/3/25,0.0584,32083200
1986/3/26,0.0601,22752000
1986/3/27,0.0612,16848000
1986/3/31,0.0606,12873600
1986/4/1,0.0601,11088000
1986/4/2,0.0606,27014400
1986/4/3,0.0612,23040000
1986/4/4,0.0612,26582400
1986/4/7,0.0601,16560000
1986/4/8,0.0606,10252800
1986/4/9,0.0617,12153600
1986/4/10,0.0623,13881600
1986/4/11,0.0634,17222400
1986/4/14,0.0639,12153600
1986/4/15,0.0639,9302400
1986/4/16,0.0661,31910400
1986/4/17,0.0667,22003200
1986/4/18,0.0645,21628800
1986/4/21,0.0645,22924800
1986/4/22,0.0634,15552000
1986/4/23,0.0636,15609600
1986/4/24,0.07,62352000
1986/4/25,0.0744,85795200
1986/4/28,0.0749,28886400
1986/4/29,0.0727,30326400
1986/4/30,0.0711,30902400
1986/5/1,0.07,54345600
1986/5/2,0.07,20246400
1986/5/5,0.0694,3254400
1986/5/6,0.07,9734400
1986/5/7,0.07,5155200
1986/5/8,0.0705,3542400
1986/5/9,0.07,6076800
1986/5/12,0.0705,10483200
1986/5/13,0.0711,3830400
1986/5/14,0.0705,9302400
1986/5/15,0.0705,3801600
1986/5/16,0.0711,11952000
1986/5/19,0.07,11001600
1986/5/20,0.0694,61977600
1986/5/21,0.0683,8092800
1986/5/22,0.0683,4406400
1986/5/23,0.0683,4089600
1986/5/27,0.0705,13881600
1986/5/28,0.0727,15523200
1986/5/29,0.0744,45676800
1986/5/30,0.0772,27072000
1986/6/2,0.0749,19728000
1986/6/3,0.0749,5011200
1986/6/4,0.0744,4723200
1986/6/5,0.0755,13708800
1986/6/6,0.0755,3427200
1986/6/9,0.0722,12672000
1986/6/10,0.0722,3427200
1986/6/11,0.0722,2304000
1986/6/12,0.0694,13708800
1986/6/13,0.0694,7891200
1986/6/16,0.0689,9590400
1986/6/17,0.07,13075200
1986/6/18,0.0694,4348800
1986/6/19,0.0689,8467200
1986/6/20,0.0692,3801600
1986/6/23,0.07,46195200
1986/6/24,0.0694,14572800
1986/6/25,0.0683,15235200
1986/6/26,0.0661,19152000
1986/6/27,0.0656,10396800
1986/6/30,0.0678,62352000
1986/7/1,0.0678,47577600
1986/7/2,0.0678,52617600
1986/7/3,0.0689,14140800
